Full Name,Name,Prep Time,Cuisine,Meal,Ingredients,Recipe
Avocado Toast,avocado,10-20 min,american,breakfast,"Bread,
Butter,
Avocado,
Salt, 
Pepper,
Red Pepper","1. Toast the bread until golden brown
2. Spread an even layer of butter on the warm bread
3. Slice half an avocado into 1/8 inch slices
4. Fan out the slices on the toast 
5. Season with salt, pepper and red pepper"
Stir-Fry Quinoa,quinoa,10-20 min,american,appetizer,"Quinoa,
Broccoli,
Zucchini,
Bell Pepper,
Soy Sauce,
Salt,Pepper,
Oregano","1. Cook the quinoa in water with a pinch of salt for 15 min
2. Cut the broccoli into medium size florets and slice the zucchini and bell pepper into 1.5 inch strips
3. Sauté the vegetables in 1tbs oil, 2tbs of soy sauce and salt, pepper and oregano for 3 min
4. Mix the quinoa into the stir fry"
Chocolate Chip Cookies,chocchipcookies,30-40 min,american,dessert,"
All purpose flour,
Butter,
Chopped walnuts,
Chocolate chips,
Baking soda,
Salt,
Granulated sugar,
Light brown sugar,
Vanilla,
Eggs","1. Mix all dry ingredients together (flour, salt, baking soda)
2. Cream the butter, then add in both sugar, eggs, and vanilla
3. Mix dry ingredients into wet ones
4. Stir in nuts and chocolate chips
5. (Optional) omit chocolate chips and roll dough in cinnamon and sugar for snickerdoodles"
Buttercream,buttercream,10-20 min,american,dessert,"Butter,
Powdered sugar,
Vanilla essense,
Milk","1. Beat 1/2 cup softened butter in a kitchen aid mixture for 5-7 minutes until white and fluffy
2. Slowly add 3 cups sifted powdered sugar into butter mixture
3. Once all the sugar and butter are mixed, add 1 tsp vanilla essence and 1 tbsp milk"
Cake Box Cake,cake,50-60 min,american,dessert,"Cake box,
Evaporated milk,
Sour cream,
Vegetable oil","1. Mix cake mix with wet ingredients in a kitchen aid mixer or by whisk till all lumps are removed
2. Bake at 350 degrees F in cake pan for 45-50 minutes or cupcake tray for 15-20 minutes"
Buffalo Cauliflower,cauliwings,20-30 min,american,entrée,"Panko breadcrumbs, Milk, All purpose flour, Salt, Hot sauce, Unsalted butter, Cauliflower","1. Preheat oven to 400 degrees F.
2. Cut off the cauliflower florets.
3. Mix 1 cup milk, 3/4 flour, and 1 tsp salt until batter is formed. Once combined add in a teaspoon of hot sauce in the mixture.
4. Pour 1 cup breadcrumbs into a shallow bowl. Dip cauliflower into the batter and then panko coating completely and place on an oiled tray.
5. Melt 1 1/2 tsp butter and add in 1/4 cup hot sauce. Coat cauliflower with hot sauce mixture.
6. Bake cauliflower for 15-20 minute depending on size."
Crispy Waffles,waffles,10-20 min,american,breakfast,"All purpose flour, Sugar, Baking powder, Salt, Cinnamon, Nutmeg, Eggs, Milk, Butter, Vanilla extract","1. Preheat waffle iron.
2. In a large bowl, whisk together dry ingredients: 2 cups flour, 2 tbsp sugar, 4 tsp baking powder, and 1 tsp salt.
3, In another bowl, combine 2 eggs with the 1 1/2 cup warm milk. Then add 6 tbsp melted butter and 1 tsp vanilla.
4. Pour the wet ingredients into the dry ones and whisk until blended.
5. Ladle about ½ cup of batter into the preheated waffle iron. Cook until waffles are golden brown and crispy.
6. Serve immediately with preferred toppings and syrup or place in Ziploc and freeze."
Mini Mexican Pizza,mexican-pizza,10-20 min,mexican,entrée,"Mini phyllo shells, Black beans, Bell peppers, Cheddar, Pepperjack, Serrano pepper, Salt, Pepper","1. Preheat oven to 350 degrees F. Thaw frozen phyllo shells.
2. Smash black beans with little bit of water, until mushy. Add in bell peppers and season with salt and pepper. Add cut up chili peppers.
3. Place about a teaspoon or two of mixture into the phyllo shells. Cover the top of the shell with cheese mixture.
4. Bake about 10-15 minutes until cheese is melted and shells are golden brown.
5. Serve warm with hot sauce."
Spinach Cheese Puffs,spinach-puffs,30-40 min,american,entrée,"Cream cheese, Eggs, Olive oil, Dried dill, Spinach, Feta, Sharp cheddar, Monterey jack, Salt, Pepper, Frozen puff pastry, Butter","1. Preheat oven to 400 degrees and spray muffin pan with cooking spray.
2. Microwave cream cheese at 15 second intervals until melted completely but not steaming. Add egg, oil, and dill into cream cheese and mix until well combined.
3. In a separate bowl, combine spinach, feta, cheddar, and jack cheese.
4. Pour cream cheese mixture on top and season with salt and pepper. Combine together.
5. Place squares of puff pastry into each muffin compartment, pressing into the bottom on the pan. Divide the spinach evenly among the cups. Press the points of pastry together at the top, covering the filling. Lightly brush the tops with melted butter.
6. Bake about 20 minutes until golden and puffy. Allow to cool 10 minutes in pan before removing. Cut with knife around the edge to help loosen the pastry."
Oreo Truffles,oreo-truffles,30-40 min,american,dessert,"Oreos, Cream cheese, Coating chocolate","1. Crush the oreos and mix well with the cream cheese.
2. Roll mixtures into little balls and chill in the fridge for about 30 minutes.
3. Melt coating chocolate and coat little balls and sprinkle toppings.
4. Place in fridge until ready to serve."
Mint Truffles,mint-truffles,1-2 hrs,american,dessert,"White chocolate, Heavy whipping cream, Peppermint extract, Coating chocolate, Crushed peppermint candy","1. Simmer heavy whipping cream then add to chocolate and mix until smooth. Mix in peppermint extract.
2. Let chocolate ganache chill completely in the fridge overnight or 2-3 hours minimum.
3. Roll into balls and coat balls in coating chocolate. Top with drizzled white chocolate and crushed peppermint candy.
4. Refrigerate until ready to serve."
Ravioli with Spinach Cheese Filling,ravioli,20-30 min,italian,entrée,placeholder,placeholder
Pasta Dough,pasta-dough,30-40 min,italian,entrée,"All purpose flour, Semolina flour, Salt, Water, Olive oil","1. Mix the flour, semolina, and salt. Heap in a pile and press a well into the center. Pour in water and olive oil and knead into a smooth dough.
2. Shape the dough into a ball, wrap in a cling foil, and place in the fridge for at least ½ an hour."
Pesto Cream Sauce,pesto-cream,20-30 min,italian,entrée,placeholder,placeholder
